"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.911875000E0,-3.315955997E-3,-1.904429002E-3,1.768256485E-2,1.809131045E-2
1.921885000E0,-6.685085110E-3,-6.541910553E-3,2.082427382E-2,2.282843264E-2
1.931895000E0,-9.636065215E-3,-3.651175043E-3,2.246968031E-2,2.471985771E-2
1.941905000E0,2.241767664E-4,7.975967601E-5,7.352873683E-3,7.356722655E-3
1.951914000E0,-8.236917872E-3,3.863438107E-3,1.184295058E-2,1.493413702E-2
1.961924000E0,-6.099988958E-3,-5.609667948E-3,1.917886734E-2,2.089275454E-2
1.971934000E0,-7.331960751E-3,7.859754190E-4,7.654590011E-3,1.062864780E-2
1.981944000E0,-3.227790948E-3,-3.913294757E-3,5.560117364E-3,7.526447725E-3
1.991954000E0,-3.987801075E-4,6.561992085E-3,1.274693012E-2,1.434234964E-2
2.001964000E0,-2.922365293E-3,-1.227421928E-3,2.008167744E-2,2.033028657E-2
2.011973000E0,-4.334367374E-3,-3.118306403E-3,1.633828998E-2,1.718866762E-2
2.021983000E0,1.179803666E-3,-9.345495142E-4,1.484081805E-2,1.491694338E-2
2.031993000E0,-6.456879247E-4,1.983293323E-3,8.403618336E-3,8.658589171E-3
2.042003000E0,-4.730616733E-3,-5.227063615E-3,1.962968767E-2,2.085726652E-2
2.052013000E0,-1.754813371E-3,-4.458648115E-3,5.407505035E-3,7.224958387E-3
2.062022000E0,-3.281320380E-3,-8.883633628E-3,5.855986476E-3,1.113456723E-2
2.072032000E0,3.530713264E-4,-8.780736336E-4,2.321987808E-2,2.323915684E-2
2.082042000E0,1.392222047E-3,-1.402957169E-3,1.678443253E-2,1.690040669E-2
2.092052000E0,-2.261511153E-3,-1.789403306E-3,1.738494158E-2,1.762250239E-2
2.102062000E0,-1.127125734E-2,1.406291910E-3,1.738494158E-2,2.076668228E-2
2.112072000E0,-2.304424234E-3,-3.643162530E-3,1.633653581E-2,1.689572155E-2
2.122081000E0,-9.104708629E-3,-3.242066377E-3,1.094657242E-2,1.460253955E-2
2.132091000E0,-1.125985527E-2,-9.160211496E-4,1.573836565E-2,1.937316672E-2
2.142101000E0,2.954260027E-3,-7.487131236E-3,1.259431779E-2,1.494662595E-2
2.152111000E0,3.547834642E-3,-1.187127303E-2,1.469054461E-2,1.921786551E-2
2.162121000E0,-3.661544714E-3,-1.048566565E-2,1.439116716E-2,1.817860793E-2
2.172131000E0,-4.659344656E-3,-7.939778818E-3,1.933089495E-2,2.141105041E-2
2.182140000E0,-2.603838220E-6,3.620595932E-3,2.771346331E-2,2.794896725E-2
2.192150000E0,-3.754478898E-3,-8.532001264E-4,2.442089617E-2,2.472254502E-2
2.202160000E0,4.627888463E-4,4.719881611E-3,1.828365862E-2,1.888871697E-2
2.212170000E0,2.046251390E-4,2.546234010E-4,1.349361956E-2,1.349757287E-2
2.222180000E0,2.484710338E-3,-1.218558828E-2,1.004844010E-2,1.598854264E-2
2.232189000E0,-2.155703958E-3,-8.299994711E-3,1.543664932E-2,1.765862719E-2
2.242199000E0,-5.906857252E-3,4.301769147E-4,9.149138331E-3,1.089874979E-2
2.252209000E0,-2.242005207E-3,-1.282499959E-3,8.553891778E-3,8.935348792E-3
2.262219000E0,1.800439926E-3,1.462516543E-3,1.139973164E-2,1.163333228E-2
2.272229000E0,-1.359204465E-2,3.631011285E-3,1.334568501E-2,1.939162780E-2
2.282239000E0,-8.458435982E-3,-7.321106857E-3,1.574128926E-2,1.931144563E-2
2.292248000E0,3.325073998E-3,-2.075487468E-4,2.217790425E-2,2.242673918E-2
2.302258000E0,-4.528303072E-4,-5.398167763E-4,1.888533711E-2,1.889847654E-2
2.312268000E0,-6.509358007E-3,-6.575431544E-3,1.424849510E-2,1.698904513E-2
2.322278000E0,-2.814959250E-3,-5.432958696E-3,1.828892112E-2,1.928537455E-2
2.332288000E0,-3.295636922E-4,-2.923781415E-3,2.442557395E-2,2.460214975E-2
2.342298000E0,-4.783954304E-3,-6.196586788E-4,2.323098779E-2,2.372654609E-2
2.352307000E0,-4.984769616E-3,-1.317807091E-3,1.859297633E-2,1.929464466E-2
2.362317000E0,-1.882986166E-4,5.004293835E-3,1.095826685E-2,1.204832045E-2
2.372327000E0,4.772972502E-3,-1.669905405E-3,1.111029446E-2,1.220690352E-2
2.382337000E0,-4.872539621E-3,-1.145517055E-2,2.114002347E-2,2.453289969E-2
2.392347000E0,-1.658023680E-3,-2.450577216E-3,2.353387356E-2,2.371913944E-2
2.402357000E0,-1.730319019E-3,-2.326671062E-3,1.021157742E-2,1.061525861E-2
2.412366000E0,2.587840604E-3,-6.617138637E-3,1.440286160E-2,1.606007051E-2
2.422376125E0,-6.432969617E-3,-6.904145563E-4,9.163171649E-3,1.121710680E-2
2.432386125E0,-3.694508392E-3,-2.642292799E-3,1.200608790E-2,1.283655912E-2
2.442396125E0,-1.884685513E-3,2.019788171E-3,1.919231594E-2,1.939011539E-2
2.452406125E0,1.619843189E-3,-2.763330163E-3,1.978756249E-2,2.004513694E-2
2.462416125E0,1.471954314E-3,-6.731917653E-3,1.484783471E-2,1.636898165E-2
2.472425125E0,1.824139422E-3,-4.666589722E-3,1.499576926E-2,1.581068120E-2
2.482435125E0,-2.056520563E-3,-6.151348525E-3,1.050569236E-2,1.234657594E-2
2.492445125E0,-4.069205280E-4,-3.343698294E-3,1.589740992E-2,1.625033983E-2
2.502455125E0,-2.651282893E-3,-7.673556916E-5,2.113943875E-2,2.130518857E-2
2.512465125E0,2.066670964E-3,-1.563865235E-3,1.694581568E-2,1.714285485E-2
2.522474125E0,1.162134111E-3,4.761552159E-4,2.068803370E-2,2.072611922E-2
2.532484125E0,-6.585673308E-3,-3.296614503E-3,7.516011000E-3,1.052279342E-2
2.542494125E0,-4.088482819E-4,-2.094600555E-3,5.422123075E-3,5.826999831E-3
2.552504125E0,-3.821009248E-3,-1.187282620E-2,1.410465360E-2,1.882831290E-2
2.562514125E0,-9.285195731E-4,-9.823578112E-3,1.200550318E-2,1.554017188E-2
2.572524125E0,-1.962974248E-3,-4.367609709E-3,1.125705957E-2,1.223317917E-2
2.582533125E0,-1.506946245E-3,1.489180760E-3,1.050861597E-2,1.072005391E-2
2.592543125E0,-8.658228032E-3,-2.861070028E-4,1.859239161E-2,2.051155274E-2
2.602553125E0,-6.076225508E-3,-1.399001162E-3,1.305507839E-2,1.446764640E-2
2.612563125E0,-7.961166836E-4,-3.920777366E-3,1.051095486E-2,1.124662033E-2
2.622573125E0,-2.405005479E-3,-2.028490473E-3,1.589974880E-2,1.620804852E-2
2.632583125E0,-2.382137384E-3,-2.229250968E-6,1.335504055E-2,1.356582808E-2
2.642592125E0,-2.588909548E-3,-7.640757691E-4,1.530040920E-2,1.553669161E-2
2.652602125E0,-6.183065102E-3,-2.219813196E-3,1.619795680E-2,1.747946421E-2
2.662612125E0,-2.450988349E-4,-6.847802158E-3,1.919231594E-2,2.037884832E-2
2.672622125E0,-3.510668278E-3,-5.988800498E-3,1.140908718E-2,1.335506621E-2
2.682632125E0,-2.342312364E-3,-4.992850651E-3,2.053951442E-2,2.126703171E-2
2.692642125E0,-1.824842915E-3,-3.063561847E-3,1.994192898E-2,2.025823276E-2
2.702651125E0,-4.662798168E-3,-6.620107926E-3,1.769659817E-2,1.946116910E-2
2.712661125E0,3.262563609E-3,-9.913515598E-3,1.844562650E-2,2.119347186E-2
2.722671125E0,1.311905058E-3,-3.091459461E-3,2.324034333E-2,2.348173279E-2
2.732681125E0,-3.079107217E-3,-3.313215114E-3,1.650610507E-2,1.711460780E-2
2.742691125E0,-3.611048525E-3,-4.384315386E-3,1.156520784E-2,1.288471673E-2
2.752701125E0,-3.243441386E-3,-6.026149588E-3,1.007007480E-2,1.217541775E-2
2.762710125E0,2.943826402E-3,1.612716895E-3,1.171489656E-2,1.218629439E-2
